Creation policy of v1.1 [Simple version] ,,,,
"The important thing is to respect the Constitution of the Constitutional Convention, not to make any essential changes to it, and to focus only on simplifying it. The aim is not to deny the Constitution of the Constitutional Convention, but to strengthen it by simplifying it.",,,,
1. Carefully correct duplicated and redundant expressions to make them simple. Carefully confirm that there are no changes to the intended content or effect from the version approved by the Constitutional Convention.,,,,
"2. We remove language that we believe will have no practical effect if removed, and we are careful to make sure that no one is harmed by this removal.",,,,
3. No new ideas added. v1.1 will focus on simplification.,,,,
4. We will be ignoring Guardrails and TENET in order to focus on submitting v1.1 for GA in January or February.,,,,
https://docs.google.com/document/d/1o9B3JsYAdTF1ycEkRcAWm_i095Ns7CBd_fxJiU6G0iY/edit?tab=t.0#heading=h.4h2z8okq9vgc,,,,
v1.0,v1.1,,Diff & Reason,
"Ensure that ada owners are adequately rewarded for using stake in constructive ways, including when delegating ada for block production; and","Ensure that ada owners are adequately rewarded for using stake in constructive ways, including when delegating ada for block production; and",,0.APPENDIX,
"Balance economic incentives for different Cardano Blockchain ecosystem stakeholders, including but not limited to Stake Pool Operators, ada owners, DeFi users, infrastructure users, developers (e.g. DApps) and financial intermediaries (e.g. exchanges)","Balance economic incentives for different Cardano Blockchain ecosystem stakeholders, including but not limited to Stake Pool Operators, ada owners, DeFi users, infrastructure users, developers (e.g. DApps) and financial intermediaries (e.g. exchanges)",,0.APPENDIX,
Triggers for Change,Triggers for Change,,0.APPENDIX,
"Significant changes in the fiat value of ada resulting in potential problems with security, performance, functionality or long-term sustainability","Significant changes in the fiat value of ada resulting in potential problems with security, performance, functionality or long-term sustainability",,0.APPENDIX,
Changes in transaction volumes or types,Changes in transaction volumes or types,,0.APPENDIX,
Community requests or suggestions,Community requests or suggestions,,0.APPENDIX,
Emergency situations that require changes to economic parameters,Emergency situations that require changes to economic parameters,,0.APPENDIX,
Counter-indicators,Counter-indicators,,0.APPENDIX,
Changes to the economic parameters should not be made in isolation. They need to account for:,Changes to the economic parameters should not be made in isolation. They need to account for:,,0.APPENDIX,
External economic factors,External economic factors,,0.APPENDIX,
Network security concerns,Network security concerns,,0.APPENDIX,
Core Metrics,Core Metrics,,0.APPENDIX,
"Fiat value of ada resulting in potential problems with security, performance, functionality or long-term sustainability","Fiat value of ada resulting in potential problems with security, performance, functionality or long-term sustainability",,0.APPENDIX,
Transaction volumes and types,Transaction volumes and types,,0.APPENDIX,
Number and health of stake pools,Number and health of stake pools,,0.APPENDIX,
External economic factors,External economic factors,,0.APPENDIX,
Changes to Specific Economic Parameters,Changes to Specific Economic Parameters,,0.APPENDIX,
Transaction fee per byte (txFeePerByte) and fixed transaction fee (txFeeFixed),Transaction fee per byte (txFeePerByte) and fixed transaction fee (txFeeFixed),,0.APPENDIX,
Defines the cost for basic transactions in lovelace:,Defines the cost for basic transactions in lovelace:,,0.APPENDIX,
fee(tx) = txFeeFixed + txFeePerByte x nBytes(tx),fee(tx) = txFeeFixed + txFeePerByte x nBytes(tx),,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
TFPB-01 (y) txFeePerByte must not be lower than 30 (0.000030 ada) This protects against low-cost denial of service attacks,TFPB-01 (y) txFeePerByte must not be lower than 30 (0.000030 ada) This protects against low-cost denial of service attacks,,0.APPENDIX,
"TFPB-02 (y) txFeePerByte must not exceed 1,000 (0.001 ada) This ensures that transactions can be paid for","TFPB-02 (y) txFeePerByte must not exceed 1,000 (0.001 ada) This ensures that transactions can be paid for",,0.APPENDIX,
TFPB-03 (y) txFeePerByte must not be negative,TFPB-03 (y) txFeePerByte must not be negative,,0.APPENDIX,
"TFF-01 (y) txFeeFixed must not be lower than 100,000 (0.1 ada) This protects against low-cost denial of service attacks","TFF-01 (y) txFeeFixed must not be lower than 100,000 (0.1 ada) This protects against low-cost denial of service attacks",,0.APPENDIX,
"TFF-02 (y) txFeeFixed must not exceed 10,000,000 (10 ada) This ensures that transactions can be paid for","TFF-02 (y) txFeeFixed must not exceed 10,000,000 (10 ada) This ensures that transactions can be paid for",,0.APPENDIX,
TFF-03 (y) txFeeFixed must not be negative,TFF-03 (y) txFeeFixed must not be negative,,0.APPENDIX,
"TFGEN-01 (x - ""should"") To maintain a consistent level of protection agains denial-of-service attacks, txFeeFixed and txFeeFixed should be adjusted whenever Plutus Execution prices are adjusted (executionUnitPrices[steps/memory])","TFGEN-01 (x - ""should"") To maintain a consistent level of protection agains denial-of-service attacks, txFeeFixed and txFeeFixed should be adjusted whenever Plutus Execution prices are adjusted (executionUnitPrices[steps/memory])",,0.APPENDIX,
TFGEN-02 (x - unquantifiable) Any changes to txFeeFixed or txFeeFixed must consider the implications of reducing the cost of a denial-of-service attack or increasing the maximum transaction fee so that it becomes impossible to construct a transaction.,TFGEN-02 (x - unquantifiable) Any changes to txFeeFixed or txFeeFixed must consider the implications of reducing the cost of a denial-of-service attack or increasing the maximum transaction fee so that it becomes impossible to construct a transaction.,,0.APPENDIX,
UTxO cost per byte (utxoCostPerByte),UTxO cost per byte (utxoCostPerByte),,0.APPENDIX,
Defines the deposit (in lovelace) that is charged for each byte of storage tha is held in a UTxO. This deposit is returned when the UTxO is no longer active.,Defines the deposit (in lovelace) that is charged for each byte of storage tha is held in a UTxO. This deposit is returned when the UTxO is no longer active.,,0.APPENDIX,
Sets a minimum threshold on ada that is held within a single UTxO,Sets a minimum threshold on ada that is held within a single UTxO,,0.APPENDIX,
Provides protection against low-cost denial of service attack on UTxO storage. DoS protection decreases in line with the free node memory (proportional to UTxO growth),Provides protection against low-cost denial of service attack on UTxO storage. DoS protection decreases in line with the free node memory (proportional to UTxO growth),,0.APPENDIX,
"Helps reduce long-term storage costs for node users by providing an incentive to return UTxOs when no longer needed, or to merge UTxOs.","Helps reduce long-term storage costs for node users by providing an incentive to return UTxOs when no longer needed, or to merge UTxOs.",,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"UCPB-01 (y) utxoCostPerByte must not be lower than 3,000 (0.003 ada)","UCPB-01 (y) utxoCostPerByte must not be lower than 3,000 (0.003 ada)",,0.APPENDIX,
"UCPB-02 (y) utxoCostPerByte must not exceed 6,500 (0.0065 ada)","UCPB-02 (y) utxoCostPerByte must not exceed 6,500 (0.0065 ada)",,0.APPENDIX,
UCPB-03 (y) utxoCostPerByte must not be zero,UCPB-03 (y) utxoCostPerByte must not be zero,,0.APPENDIX,
UCPB-04 (y) utxoCostPerByte must not be negative,UCPB-04 (y) utxoCostPerByte must not be negative,,0.APPENDIX,
"UCPB-05a (x - ""should"") Changes should account for","UCPB-05a (x - ""should"") Changes should account for",,0.APPENDIX,
The acceptable cost of attack,The acceptable cost of attack,,0.APPENDIX,
The acceptable time for an attack,The acceptable time for an attack,,0.APPENDIX,
The acceptable memory configuration for full node users,The acceptable memory configuration for full node users,,0.APPENDIX,
The sizes of UTxOs and,The sizes of UTxOs and,,0.APPENDIX,
The current total node memory usage,The current total node memory usage,,0.APPENDIX,
Stake address deposit (stakeAddressDeposit),Stake address deposit (stakeAddressDeposit),,0.APPENDIX,
Ensures that stake addresses are retired when no longer needed,Ensures that stake addresses are retired when no longer needed,,0.APPENDIX,
Helps reduce long-term storage costs,Helps reduce long-term storage costs,,0.APPENDIX,
Helps limit CPU and memory costs in the ledger,Helps limit CPU and memory costs in the ledger,,0.APPENDIX,
The rationale for the deposit is to incentivize that scarce memory resources are returned when they are no longer required. Reducing the number of active stake addresses also reduces processing and memory costs at the epoch boundary when calculating stake snapshots.,The rationale for the deposit is to incentivize that scarce memory resources are returned when they are no longer required. Reducing the number of active stake addresses also reduces processing and memory costs at the epoch boundary when calculating stake snapshots.,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"SAD-01 (y) stakeAddressDeposit must not be lower than 1,000,000 (1 ada)","SAD-01 (y) stakeAddressDeposit must not be lower than 1,000,000 (1 ada)",,0.APPENDIX,
"SAD-02 (y) stakeAddressDeposit must not exceed 5,000,000 (5 ada)","SAD-02 (y) stakeAddressDeposit must not exceed 5,000,000 (5 ada)",,0.APPENDIX,
SAD-03 (y) stakeAddressDeposit must not be negative,SAD-03 (y) stakeAddressDeposit must not be negative,,0.APPENDIX,
Stake pool deposit (stakePoolDeposit),Stake pool deposit (stakePoolDeposit),,0.APPENDIX,
Ensures that stake pools are retired by the stake pool operator when no longer needed by them,Ensures that stake pools are retired by the stake pool operator when no longer needed by them,,0.APPENDIX,
Helps reduce long-term storage costs,Helps reduce long-term storage costs,,0.APPENDIX,
The rationale for the deposit is to incentivize that scarce memory resources are returned when they are no longer required. Rewards and stake snapshot calculations are also impacted by the number of active stake pools.,The rationale for the deposit is to incentivize that scarce memory resources are returned when they are no longer required. Rewards and stake snapshot calculations are also impacted by the number of active stake pools.,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"SPD-01 (y) stakePoolDeposit must not be lower than 250,000,000 (250 ada)","SPD-01 (y) stakePoolDeposit must not be lower than 250,000,000 (250 ada)",,0.APPENDIX,
"SPD-02 (y) stakePoolDeposit must not exceed 500,000,000 (500 ada)","SPD-02 (y) stakePoolDeposit must not exceed 500,000,000 (500 ada)",,0.APPENDIX,
SPD-03 (y) stakePoolDeposit must not be negative,SPD-03 (y) stakePoolDeposit must not be negative,,0.APPENDIX,
Minimum Pool Cost (minPoolCost),Minimum Pool Cost (minPoolCost),,0.APPENDIX,
Part of the rewards mechanism,Part of the rewards mechanism,,0.APPENDIX,
The minimum pool cost is transferred to the pool rewards address before any delegator rewards are paid,The minimum pool cost is transferred to the pool rewards address before any delegator rewards are paid,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
MPC-01 (y) minPoolCost must not be negative,MPC-01 (y) minPoolCost must not be negative,,0.APPENDIX,
"MPC-02 (y) minPoolCost must not exceed 500,000,000 (500 ada)","MPC-02 (y) minPoolCost must not exceed 500,000,000 (500 ada)",,0.APPENDIX,
"MPC-03 (x - ""should"") minPoolCost should be set in line with the economic cost for operating a pool","MPC-03 (x - ""should"") minPoolCost should be set in line with the economic cost for operating a pool",,0.APPENDIX,
Treasury Cut (treasuryCut),Treasury Cut (treasuryCut),,0.APPENDIX,
Part of the rewards mechanism,Part of the rewards mechanism,,0.APPENDIX,
The treasury cut portion of the monetary expansion is transferred to the treasury before any pool rewards are paid,The treasury cut portion of the monetary expansion is transferred to the treasury before any pool rewards are paid,,0.APPENDIX,
Can be set in the range 0.0-1.0 (0%-100%),Can be set in the range 0.0-1.0 (0%-100%),,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
TC-01 (y) treasuryCut must not be lower than 0.1 (10%),TC-01 (y) treasuryCut must not be lower than 0.1 (10%),,0.APPENDIX,
TC-02 (y) treasuryCut must not exceed 0.3 (30%),TC-02 (y) treasuryCut must not exceed 0.3 (30%),,0.APPENDIX,
TC-03 (y) treasuryCut must not be negative,TC-03 (y) treasuryCut must not be negative,,0.APPENDIX,
TC-04 (y) treasuryCut must not exceed 1.0 (100%),TC-04 (y) treasuryCut must not exceed 1.0 (100%),,0.APPENDIX,
TC-05 (~ - no access to change history) treasuryCut must not be changed more than once in any 36 epoch period (approximately 6 months),TC-05 (~ - no access to change history) treasuryCut must not be changed more than once in any 36 epoch period (approximately 6 months),,0.APPENDIX,
Monetary Expansion Rate (monetaryExpansion),Monetary Expansion Rate (monetaryExpansion),,0.APPENDIX,
Part of the rewards mechanism,Part of the rewards mechanism,,0.APPENDIX,
The monetary expansion controls the amount of reserves that is used for rewards each epoch,The monetary expansion controls the amount of reserves that is used for rewards each epoch,,0.APPENDIX,
Governs the long-term sustainability of the Cardano Blockchain,Governs the long-term sustainability of the Cardano Blockchain,,0.APPENDIX,
The reserves are gradually depleted until no rewards are supplied,The reserves are gradually depleted until no rewards are supplied,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
ME-01 (y) monetaryExpansion must not exceed 0.005,ME-01 (y) monetaryExpansion must not exceed 0.005,,0.APPENDIX,
ME-02 (y) monetaryExpansion must not be lower than 0.001,ME-02 (y) monetaryExpansion must not be lower than 0.001,,0.APPENDIX,
ME-03 (y) monetaryExpansion must not be negative,ME-03 (y) monetaryExpansion must not be negative,,0.APPENDIX,
"ME-04 (x - ""should"") monetaryExpansion should not be varied by more than +/- 10% in any 73-epoch period (approximately 12 months)","ME-04 (x - ""should"") monetaryExpansion should not be varied by more than +/- 10% in any 73-epoch period (approximately 12 months)",,0.APPENDIX,
"ME-05 (x - ""should"") monetaryExpansion should not be changed more than once in any 36-epoch period (approximately 6 months)","ME-05 (x - ""should"") monetaryExpansion should not be changed more than once in any 36-epoch period (approximately 6 months)",,0.APPENDIX,
Plutus Script Execution Prices (executionUnitPrices[priceSteps/priceMemory]),Plutus Script Execution Prices (executionUnitPrices[priceSteps/priceMemory]),,0.APPENDIX,
Define the fees for executing Plutus scripts,Define the fees for executing Plutus scripts,,0.APPENDIX,
Gives an economic return for Plutus script execution,Gives an economic return for Plutus script execution,,0.APPENDIX,
Provides security against low-cost DoS attacks,Provides security against low-cost DoS attacks,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"EIUP-PS-01 (y) executionUnitPrices[priceSteps] must not exceed 2,000 / 10,000,000","EIUP-PS-01 (y) executionUnitPrices[priceSteps] must not exceed 2,000 / 10,000,000",,0.APPENDIX,
"EIUP-PS-02 (y) executionUnitPrices[priceSteps] must not be lower than 500 / 10,000,000","EIUP-PS-02 (y) executionUnitPrices[priceSteps] must not be lower than 500 / 10,000,000",,0.APPENDIX,
"EIUP-PM-01 (y) executionUnitPrices[priceMemory] must not exceed 2,000 / 10,000","EIUP-PM-01 (y) executionUnitPrices[priceMemory] must not exceed 2,000 / 10,000",,0.APPENDIX,
"EIUP-PM-02 (y) executionUnitPrices[priceMemory] must not be lower than 400 / 10,000","EIUP-PM-02 (y) executionUnitPrices[priceMemory] must not be lower than 400 / 10,000",,0.APPENDIX,
"EIUP-GEN-01 (x - ""similar to"") The execution prices must be set so tha","EIUP-GEN-01 (x - ""similar to"") The execution prices must be set so tha",,0.APPENDIX,
the cost of executing a transaction with maximum CPU steps is similar to the cost of a maximum sized non-script transaction and,the cost of executing a transaction with maximum CPU steps is similar to the cost of a maximum sized non-script transaction and,,0.APPENDIX,
the cost of executing a transaction with maximum memory units is similar to the cost of a maximum sized non-script transaction,the cost of executing a transaction with maximum memory units is similar to the cost of a maximum sized non-script transaction,,0.APPENDIX,
"EIUP-GEN-02 (x - ""should"") The execution prices should be adjusted whenever transaction fees are adjusted (txFeeFixed/txFeePerByte). The goal is to ensure that the processing delay is similar for ""full"" transactions, regardless of their type.","EIUP-GEN-02 (x - ""should"") The execution prices should be adjusted whenever transaction fees are adjusted (txFeeFixed/txFeePerByte). The goal is to ensure that the processing delay is similar for ""full"" transactions, regardless of their type.",,0.APPENDIX,
This helps ensure that the requirements on block diffusion/propagation times are met.,This helps ensure that the requirements on block diffusion/propagation times are met.,,0.APPENDIX,
Transaction fee per byte for a reference script (minFeeRefScriptCoinsPerByte),Transaction fee per byte for a reference script (minFeeRefScriptCoinsPerByte),,0.APPENDIX,
Defines the cost for using Plutus reference scripts in lovelace,Defines the cost for using Plutus reference scripts in lovelace,,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"MFRS-01 (y) minFeeRefScriptCoinsPerByte must not exceed 1,000 (0.001 ada)","MFRS-01 (y) minFeeRefScriptCoinsPerByte must not exceed 1,000 (0.001 ada)",,0.APPENDIX,
This ensures that transactions can be paid for,This ensures that transactions can be paid for,,0.APPENDIX,
MFRS-02 (y) minFeeRefScriptCoinsPerByte must not be negative,MFRS-02 (y) minFeeRefScriptCoinsPerByte must not be negative,,0.APPENDIX,
"MFRS-03 (x - ""should"") To maintain a consistent level of protection against denial-of-service attacks, minFeeRefScriptCoinsPerByte should be adjusted whenever Plutus Execution prices are adjusted (executionUnitPrices[steps/memory]) and whenever txFeeFixed is adjusted","MFRS-03 (x - ""should"") To maintain a consistent level of protection against denial-of-service attacks, minFeeRefScriptCoinsPerByte should be adjusted whenever Plutus Execution prices are adjusted (executionUnitPrices[steps/memory]) and whenever txFeeFixed is adjusted",,0.APPENDIX,
MFRS-04 (x - unquantifiable) Any changes to minFeeRefScriptCoinsPerByte must consider the implications of reducing the cost of a denial-of-service attack or increasing the maximum transaction fee,MFRS-04 (x - unquantifiable) Any changes to minFeeRefScriptCoinsPerByte must consider the implications of reducing the cost of a denial-of-service attack or increasing the maximum transaction fee,,0.APPENDIX,
2.3. Network Parameters,2.3. Network Parameters,,0.APPENDIX,
The overall goals when managing the Cardano Blockchain network parameters are to:,The overall goals when managing the Cardano Blockchain network parameters are to:,,0.APPENDIX,
"Match the available Cardano Blockchain Layer 1 network capacity to current or future traffic demands, including payment transactions, layer 1 DApps, sidechain management and governance needs","Match the available Cardano Blockchain Layer 1 network capacity to current or future traffic demands, including payment transactions, layer 1 DApps, sidechain management and governance needs",,0.APPENDIX,
"Balance traffic demands for different user groups, including payment transactions, minters of Fungible/Non-Fungible Tokens, Plutus scripts, DeFi developers, Stake Pool Operators and voting transactions","Balance traffic demands for different user groups, including payment transactions, minters of Fungible/Non-Fungible Tokens, Plutus scripts, DeFi developers, Stake Pool Operators and voting transactions",,0.APPENDIX,
Triggers for Change,Triggers for Change,,0.APPENDIX,
Changes to network parameters may be triggered by:,Changes to network parameters may be triggered by:,,0.APPENDIX,
Measured changes in traffic demands over a 2-epoch period (10 days),Measured changes in traffic demands over a 2-epoch period (10 days),,0.APPENDIX,
Anticipated changes in traffic demands,Anticipated changes in traffic demands,,0.APPENDIX,
Cardano Community requests,Cardano Community requests,,0.APPENDIX,
Counter-indicators,Counter-indicators,,0.APPENDIX,
Changes may need to be reversed and/or should not be enacted in the event of:,Changes may need to be reversed and/or should not be enacted in the event of:,,0.APPENDIX,
Excessive block propagation delays,Excessive block propagation delays,,0.APPENDIX,
Stake pools being unable to handle traffic volume,Stake pools being unable to handle traffic volume,,0.APPENDIX,
Scripts being unable to complete execution,Scripts being unable to complete execution,,0.APPENDIX,
Core Metrics,Core Metrics,,0.APPENDIX,
All decisions on parameter changes should be informed by:,All decisions on parameter changes should be informed by:,,0.APPENDIX,
Block propagation delay profile,Block propagation delay profile,,0.APPENDIX,
Traffic volume (block size over time),Traffic volume (block size over time),,0.APPENDIX,
Script volume (size of scripts and execution units),Script volume (size of scripts and execution units),,0.APPENDIX,
Script execution cost benchmarks,Script execution cost benchmarks,,0.APPENDIX,
Block propagation delay/diffusion benchmarks,Block propagation delay/diffusion benchmarks,,0.APPENDIX,
"Detailed benchmarking results are required to confirm the effect of any changes on mainnet performance or behavior prior to enactment. The effects of different transaction mixes must be analyzed, including normal transactions, Plutus scripts, and governance actions.","Detailed benchmarking results are required to confirm the effect of any changes on mainnet performance or behavior prior to enactment. The effects of different transaction mixes must be analyzed, including normal transactions, Plutus scripts, and governance actions.",,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"NETWORK-01 (x - ""should"") No individual network parameter should change more than once per two epochs","NETWORK-01 (x - ""should"") No individual network parameter should change more than once per two epochs",,0.APPENDIX,
"NETWORK-02 (x - ""should"") Only one network parameter should be changed per epoch unless they are directly correlated, e.g., per-transaction and per-block memory unit limits","NETWORK-02 (x - ""should"") Only one network parameter should be changed per epoch unless they are directly correlated, e.g., per-transaction and per-block memory unit limits",,0.APPENDIX,
Changes to Specific Network Parameters,Changes to Specific Network Parameters,,0.APPENDIX,
Block Size (maxBlockBodySize),Block Size (maxBlockBodySize),,0.APPENDIX,
"The maximum size of a block, in Bytes.","The maximum size of a block, in Bytes.",,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"MBBS-01 (y) maxBlockBodySize must not exceed 122,880 Bytes (120KB)","MBBS-01 (y) maxBlockBodySize must not exceed 122,880 Bytes (120KB)",,0.APPENDIX,
"MBBS-02 (y) maxBlockBodySize must not be lower than 24,576 Bytes (24KB)","MBBS-02 (y) maxBlockBodySize must not be lower than 24,576 Bytes (24KB)",,0.APPENDIX,
"MBBS-03a (x - ""exceptional circumstances"") maxBlockBodySize must not be decreased, other than in exceptional circumstances where there are potential problems with security, performance, functionality or long-term sustainability","MBBS-03a (x - ""exceptional circumstances"") maxBlockBodySize must not be decreased, other than in exceptional circumstances where there are potential problems with security, performance, functionality or long-term sustainability",,0.APPENDIX,
"MBBS-04 (~ - no access to existing parameter values) maxBlockBodySize must be large enough to include at least one transaction (that is, maxBlockBodySize must be at least maxTxSize)","MBBS-04 (~ - no access to existing parameter values) maxBlockBodySize must be large enough to include at least one transaction (that is, maxBlockBodySize must be at least maxTxSize)",,0.APPENDIX,
"MBBS-05 (x - ""should"") maxBlockBodySize should be changed by at most 10,240 Bytes (10KB) per epoch (5 days), and preferably by 8,192 Bytes (8KB) or less per epoch","MBBS-05 (x - ""should"") maxBlockBodySize should be changed by at most 10,240 Bytes (10KB) per epoch (5 days), and preferably by 8,192 Bytes (8KB) or less per epoch",,0.APPENDIX,
"MBBS-06 (x - ""should"") The block size should not induce an additional Transmission Control Protocol (TCP) round trip. Any increase beyond this must be backed by performance analysis, simulation and benchmarking","MBBS-06 (x - ""should"") The block size should not induce an additional Transmission Control Protocol (TCP) round trip. Any increase beyond this must be backed by performance analysis, simulation and benchmarking",,0.APPENDIX,
"MBBS-07 (x - ""unquantifiable"") The impact of any change to maxBlockBodySize must be confirmed by detailed benchmarking/simulation and not exceed the requirements of the block diffusion/propagation time budgets, as described below. Any increase to maxBlockBodySize must also consider future requirements for Plutus script execution (maxBlockExecutionUnits[steps]) against the total block diffusion target of 3s with 95% block propagation within 5s. The limit on maximum block size may be increased in the future if this is supported by benchmarking and monitoring results","MBBS-07 (x - ""unquantifiable"") The impact of any change to maxBlockBodySize must be confirmed by detailed benchmarking/simulation and not exceed the requirements of the block diffusion/propagation time budgets, as described below. Any increase to maxBlockBodySize must also consider future requirements for Plutus script execution (maxBlockExecutionUnits[steps]) against the total block diffusion target of 3s with 95% block propagation within 5s. The limit on maximum block size may be increased in the future if this is supported by benchmarking and monitoring results",,0.APPENDIX,
Transaction Size (maxTxSize),Transaction Size (maxTxSize),,0.APPENDIX,
"The maximum size of a transaction, in Bytes.","The maximum size of a transaction, in Bytes.",,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"MTS-01 (y) maxTxSize must not exceed 32,768 Bytes (32KB)","MTS-01 (y) maxTxSize must not exceed 32,768 Bytes (32KB)",,0.APPENDIX,
MTS-02 (y) maxTxSize must not be negative,MTS-02 (y) maxTxSize must not be negative,,0.APPENDIX,
MTS-03 (~ - no access to existing parameter values) maxTxSize must not be decreased,MTS-03 (~ - no access to existing parameter values) maxTxSize must not be decreased,,0.APPENDIX,
MTS-04 (~ - no access to existing parameter values) maxTxSize must not exceed maxBlockBodySize,MTS-04 (~ - no access to existing parameter values) maxTxSize must not exceed maxBlockBodySize,,0.APPENDIX,
"MTS-05 (x - ""should"") maxTxSize should not be increased by more than 2,560 Bytes (2.5KB) in any epoch, and preferably should be increased by 2,048 Bytes (2KB) or less per epoch","MTS-05 (x - ""should"") maxTxSize should not be increased by more than 2,560 Bytes (2.5KB) in any epoch, and preferably should be increased by 2,048 Bytes (2KB) or less per epoch",,0.APPENDIX,
"MTS-06 (x - ""should"") maxTxSize should not exceed 1/4 of the block size","MTS-06 (x - ""should"") maxTxSize should not exceed 1/4 of the block size",,0.APPENDIX,
"Memory Unit Limits (maxBlockExecutionUnits[memory], maxTxExecutionUnits[memory])","Memory Unit Limits (maxBlockExecutionUnits[memory], maxTxExecutionUnits[memory])",,0.APPENDIX,
"The limit on the maximum number of memory units that can be used by Plutus scripts, either per-transaction or per-block.","The limit on the maximum number of memory units that can be used by Plutus scripts, either per-transaction or per-block.",,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"MTEU-M-01 (y) maxTxExecutionUnits[memory] must not exceed 40,000,000 units","MTEU-M-01 (y) maxTxExecutionUnits[memory] must not exceed 40,000,000 units",,0.APPENDIX,
MTEU-M-02 (y) maxTxExecutionUnits[memory] must not be negative,MTEU-M-02 (y) maxTxExecutionUnits[memory] must not be negative,,0.APPENDIX,
MTEU-M-03 (~ - no access to existing parameter values) maxTxExecutionUnits[memory] must not be decreased,MTEU-M-03 (~ - no access to existing parameter values) maxTxExecutionUnits[memory] must not be decreased,,0.APPENDIX,
"MTEU-M-04 (x - ""should"") maxTxExecutionUnits[memory] should not be increased by more than 2,500,000 units in any epoch","MTEU-M-04 (x - ""should"") maxTxExecutionUnits[memory] should not be increased by more than 2,500,000 units in any epoch",,0.APPENDIX,
"MBEU-M-01 (y) maxBlockExecutionUnits[memory] must not exceed 120,000,000 units","MBEU-M-01 (y) maxBlockExecutionUnits[memory] must not exceed 120,000,000 units",,0.APPENDIX,
MBEU-M-02 (y) maxBlockExecutionUnits[memory] must not be negative,MBEU-M-02 (y) maxBlockExecutionUnits[memory] must not be negative,,0.APPENDIX,
"MBEU-M-03 (x - ""should"") maxBlockExecutionUnits[memory] should not be changed (increased or decreased) by more than 10,000,000 units in ANY epoch","MBEU-M-03 (x - ""should"") maxBlockExecutionUnits[memory] should not be changed (increased or decreased) by more than 10,000,000 units in ANY epoch",,0.APPENDIX,
"MBEU-M-04a (x - unquantifiable) The impact of any change to maxBlockExecutionUnits[memory] must be confirmed by detailed benchmarking/simulation and not exceed the requirements of the block diffusion/propagation time budgets, as also impacted by maxBlockExecutionUnits[steps] and maxBlockBodySize. Any increase must also consider previously agreed future requirements for the total block size (maxBlockBodySize) measured against the total block diffusion target of 3s with 95% block propagation within 5s. Future Plutus performance improvements may allow the per-block memory limit to be increased, but must be balanced against the overall diffusion limits as specified in the previous sentence, and future requirements","MBEU-M-04a (x - unquantifiable) The impact of any change to maxBlockExecutionUnits[memory] must be confirmed by detailed benchmarking/simulation and not exceed the requirements of the block diffusion/propagation time budgets, as also impacted by maxBlockExecutionUnits[steps] and maxBlockBodySize. Any increase must also consider previously agreed future requirements for the total block size (maxBlockBodySize) measured against the total block diffusion target of 3s with 95% block propagation within 5s. Future Plutus performance improvements may allow the per-block memory limit to be increased, but must be balanced against the overall diffusion limits as specified in the previous sentence, and future requirements",,0.APPENDIX,
MEU-M-01 (~ - no access to existing parameter values) maxBlockExecutionUnits[memory] must not be less than maxTxExecutionUnits[memory],MEU-M-01 (~ - no access to existing parameter values) maxBlockExecutionUnits[memory] must not be less than maxTxExecutionUnits[memory],,0.APPENDIX,
"CPU Unit Limits (maxBlockExecutionUnits[steps], maxTxExecutionUnits[steps])","CPU Unit Limits (maxBlockExecutionUnits[steps], maxTxExecutionUnits[steps])",,0.APPENDIX,
"The limit on the maximum number of CPU steps that can be used by Plutus scripts, either per transaction or per-block.","The limit on the maximum number of CPU steps that can be used by Plutus scripts, either per transaction or per-block.",,0.APPENDIX,
GUARDRAILS,GUARDRAILS,,0.APPENDIX,
"MTEU-S-01 (y) maxTxExecutionUnits[steps] must not exceed 15,000,000,000 (15Bn) units","MTEU-S-01 (y) maxTxExecutionUnits[steps] must not exceed 15,000,000,000 (15Bn) units",,0.APPENDIX,
MTEU-S-02 (y) maxTxExecutionUnits[steps] must not be negative,MTEU-S-02 (y) maxTxExecutionUnits[steps] must not be negative,,0.APPENDIX,
MTEU-S-03 (~ - no access to existing parameter values) maxTxExecutionUnits[steps] must not be decreased,MTEU-S-03 (~ - no access to existing parameter values) maxTxExecutionUnits[steps] must not be decreased,,0.APPENDIX,
